Chrm	SV_start	SV_end	ID	size	strand	type	ref_gap_size	query_gap_size	query_Chrm	query_strand	method	query_SV_start	query_SV_end
Chromosome15	23506653	23506653	Assemblytics_w_32	77	+	Insertion	0	77	Chromosome02_Phase0	+	within_alignment	17406490	17406567
Chromosome01	27006518	27006518	Assemblytics_w_33	58	+	Insertion	0	58	Chromosome01_Phase0	+	within_alignment	31831215	31831273
Chromosome01	27294537	27294537	Assemblytics_w_34	64	+	Insertion	0	64	Chromosome01_Phase0	+	within_alignment	32095814	32095878
Chromosome01	27471754	27471754	Assemblytics_w_35	53	+	Insertion	0	53	Chromosome01_Phase0	+	within_alignment	32275502	32275555
Chromosome01	6146347	6146347	Assemblytics_w_36	59	+	Insertion	0	59	Chromosome01_Phase0	+	within_alignment	6816062	6816121
Chromosome01	29169476	29169476	Assemblytics_w_37	55	+	Insertion	0	55	Chromosome01_Phase0	+	within_alignment	34249197	34249252
Chromosome02	11303506	11303575	Assemblytics_w_38	69	+	Deletion	69	0	Chromosome02_Phase0	+	within_alignment	10606408	10606408
Chromosome02	11394746	11394797	Assemblytics_w_39	51	+	Deletion	51	0	Chromosome02_Phase0	+	within_alignment	10755744	10755744
Chromosome01	1213699	1213699	Assemblytics_w_40	72	+	Insertion	0	72	Chromosome01_Phase0	+	within_alignment	2398629	2398701
Chromosome02	9844347	9844347	Assemblytics_w_41	52	+	Insertion	0	52	Chromosome02_Phase0	+	within_alignment	9249758	9249810
Chromosome01	29035847	29035847	Assemblytics_w_42	69	+	Insertion	0	69	Chromosome01_Phase0	+	within_alignment	34104489	34104558
Chromosome02	459292	459292	Assemblytics_w_43	72	+	Insertion	0	72	Chromosome02_Phase0	+	within_alignment	85918	85990
Chromosome01	27808272	27808272	Assemblytics_w_44	79	+	Insertion	0	79	Chromosome01_Phase0	+	within_alignment	32685788	32685867
Chromosome02	1999897	1999948	Assemblytics_w_45	51	+	Deletion	51	0	Chromosome02_Phase0	+	within_alignment	1721057	1721057
Chromosome01	721670	721742	Assemblytics_w_46	72	+	Deletion	72	0	Chromosome01_Phase0	+	within_alignment	1768223	1768223
Chromosome01	763764	763764	Assemblytics_w_47	57	+	Insertion	0	57	Chromosome01_Phase0	+	within_alignment	1788369	1788426
Chromosome01	34550634	34550634	Assemblytics_w_48	71	+	Insertion	0	71	Chromosome01_Phase0	+	within_alignment	39468399	39468470
Chromosome02	17282786	17282786	Assemblytics_w_49	77	+	Insertion	0	77	Chromosome02_Phase0	+	within_alignment	18680344	18680421
Chromosome01	2032674	2032674	Assemblytics_w_50	68	+	Insertion	0	68	Chromosome01_Phase0	+	within_alignment	3400048	3400116
Chromosome01	26039494	26039494	Assemblytics_w_51	50	+	Insertion	0	50	Chromosome01_Phase0	+	within_alignment	30829562	30829612
Chromosome01	26104744	26104744	Assemblytics_w_52	52	+	Insertion	0	52	Chromosome01_Phase0	+	within_alignment	30896255	30896307
Chromosome01	26190339	26190390	Assemblytics_w_53	51	+	Deletion	51	0	Chromosome01_Phase0	+	within_alignment	30981787	30981787
Chromosome01	21979565	21979650	Assemblytics_w_54	85	+	Deletion	85	0	Chromosome01_Phase0	+	within_alignment	26798726	26798726
Chromosome02	711202	711202	Assemblytics_w_55	73	+	Insertion	0	73	Chromosome02_Phase0	+	within_alignment	377597	377670
Chromosome02	4319925	4319925	Assemblytics_w_56	74	+	Insertion	0	74	Chromosome02_Phase0	+	within_alignment	4174630	4174704
Chromosome02	2754288	2754288	Assemblytics_w_57	70	+	Insertion	0	70	Chromosome02_Phase0	+	within_alignment	2452039	2452109
Chromosome02	2804034	2804034	Assemblytics_w_58	52	+	Insertion	0	52	Chromosome02_Phase0	+	within_alignment	2501778	2501830
Chromosome01	24985168	24985220	Assemblytics_w_59	52	+	Deletion	52	0	Chromosome01_Phase0	+	within_alignment	29788797	29788797
Chromosome02	12763639	12763698	Assemblytics_w_60	59	+	Deletion	59	0	Chromosome02_Phase0	+	within_alignment	12209155	12209155
Chromosome02	13011885	13011885	Assemblytics_w_61	77	+	Insertion	0	77	Chromosome02_Phase0	+	within_alignment	12459516	12459593
Chromosome01	14612985	14613053	Assemblytics_w_62	68	+	Deletion	68	0	Chromosome01_Phase0	+	within_alignment	18606954	18606954
Chromosome01	14613958	14613958	Assemblytics_w_63	60	+	Insertion	0	60	Chromosome01_Phase0	+	within_alignment	18607862	18607922
Chromosome01	6306706	6306706	Assemblytics_w_64	60	+	Insertion	0	60	Chromosome01_Phase0	+	within_alignment	7214802	7214862
Chromosome02	16711117	16711180	Assemblytics_w_65	63	+	Deletion	63	0	Chromosome02_Phase0	+	within_alignment	15708341	15708341
Chromosome02	16909457	16909457	Assemblytics_w_66	60	+	Insertion	0	60	Chromosome02_Phase0	+	within_alignment	15815263	15815323
Chromosome02	15093056	15093118	Assemblytics_w_67	62	+	Deletion	62	0	Chromosome02_Phase0	+	within_alignment	13933940	13933940
Chromosome02	15145664	15145664	Assemblytics_w_68	66	+	Insertion	0	66	Chromosome02_Phase0	+	within_alignment	13989730	13989796
Chromosome01	20379924	20379974	Assemblytics_w_69	50	+	Deletion	50	0	Chromosome01_Phase0	+	within_alignment	24633364	24633364
Chromosome01	32240909	32240960	Assemblytics_w_70	51	+	Deletion	51	0	Chromosome01_Phase0	+	within_alignment	37381931	37381931
Chromosome01	32370851	32370851	Assemblytics_w_71	61	+	Insertion	0	61	Chromosome01_Phase0	+	within_alignment	37525583	37525644
Chromosome01	7653475	7653475	Assemblytics_w_72	53	+	Insertion	0	53	Chromosome01_Phase0	+	within_alignment	14468320	14468373
Chromosome02	4600572	4600572	Assemblytics_w_73	57	+	Insertion	0	57	Chromosome02_Phase0	+	within_alignment	4406317	4406374
Chromosome01	4847148	4847202	Assemblytics_w_74	54	+	Deletion	54	0	Chromosome01_Phase0	+	within_alignment	6114219	6114219
Chromosome02	17902444	17902444	Assemblytics_w_75	81	+	Insertion	0	81	Chromosome02_Phase0	+	within_alignment	20165015	20165096
Chromosome07	14044131	14044197	Assemblytics_w_76	66	+	Deletion	66	0	Chromosome01_Phase0	+	within_alignment	17027941	17027941
Chromosome01	2260503	2260503	Assemblytics_w_77	51	+	Insertion	0	51	Chromosome01_Phase0	+	within_alignment	3168254	3168305
Chromosome01	26657937	26657997	Assemblytics_w_78	60	+	Deletion	60	0	Chromosome01_Phase0	+	within_alignment	31458806	31458806
Chromosome02	4784347	4784424	Assemblytics_w_79	77	+	Deletion	77	0	Chromosome02_Phase0	+	within_alignment	4797944	4797944
Chromosome02	4835990	4835990	Assemblytics_w_80	70	+	Insertion	0	70	Chromosome02_Phase0	+	within_alignment	4765084	4765154
Chromosome02	4849329	4849384	Assemblytics_w_81	55	+	Deletion	55	0	Chromosome02_Phase0	+	within_alignment	4748273	4748273
Chromosome02	4893152	4893226	Assemblytics_w_82	74	+	Deletion	74	0	Chromosome02_Phase0	+	within_alignment	4695081	4695081
Chromosome01	7433794	7433864	Assemblytics_w_83	70	+	Deletion	70	0	Chromosome01_Phase0	+	within_alignment	8366960	8366960
Chromosome02	11639534	11639534	Assemblytics_w_84	73	+	Insertion	0	73	Chromosome02_Phase0	+	within_alignment	11127697	11127770
Chromosome02	21943110	21943110	Assemblytics_w_85	53	+	Insertion	0	53	Chromosome02_Phase0	+	within_alignment	24320876	24320929
Chromosome02	1046660	1046715	Assemblytics_w_86	55	+	Deletion	55	0	Chromosome02_Phase0	+	within_alignment	732621	732621
Chromosome02	1356893	1356893	Assemblytics_w_87	70	+	Insertion	0	70	Chromosome02_Phase0	+	within_alignment	1000282	1000352
Chromosome02	1404731	1404731	Assemblytics_w_88	51	+	Insertion	0	51	Chromosome02_Phase0	+	within_alignment	1047529	1047580
Chromosome02	21573206	21573206	Assemblytics_w_89	51	+	Insertion	0	51	Chromosome02_Phase0	+	within_alignment	23553792	23553843
Chromosome01	8449981	8449981	Assemblytics_w_90	64	+	Insertion	0	64	Chromosome01_Phase0	+	within_alignment	10624700	10624764
Chromosome01	26767940	26767940	Assemblytics_w_91	71	+	Insertion	0	71	Chromosome01_Phase0	+	within_alignment	31549647	31549718
Chromosome01	32656685	32656685	Assemblytics_w_92	72	+	Insertion	0	72	Chromosome01_Phase0	+	within_alignment	37870881	37870953
Chromosome02	1680754	1680754	Assemblytics_w_93	55	+	Insertion	0	55	Chromosome02_Phase0	+	within_alignment	1354014	1354069
Chromosome02	1778290	1778290	Assemblytics_w_94	58	+	Insertion	0	58	Chromosome02_Phase0	+	within_alignment	1467395	1467453
Chromosome02	1794225	1794225	Assemblytics_w_95	51	+	Insertion	0	51	Chromosome02_Phase0	+	within_alignment	1483694	1483745
Chromosome02	22426828	22426828	Assemblytics_w_96	65	+	Insertion	0	65	Chromosome02_Phase0	+	within_alignment	28335327	28335392
Chromosome02	22529226	22529226	Assemblytics_w_97	56	+	Insertion	0	56	Chromosome02_Phase0	+	within_alignment	28438993	28439049
Chromosome01	4492280	4492348	Assemblytics_w_98	68	+	Deletion	68	0	Chromosome01_Phase0	+	within_alignment	5515615	5515615
Chromosome02	6832795	6832853	Assemblytics_w_99	58	+	Deletion	58	0	Chromosome02_Phase0	+	within_alignment	6269572	6269572
Chromosome02	6939462	6939462	Assemblytics_w_100	67	+	Insertion	0	67	Chromosome02_Phase0	+	within_alignment	6343824	6343891
Chromosome02	7121108	7121108	Assemblytics_w_101	60	+	Insertion	0	60	Chromosome02_Phase0	+	within_alignment	6517588	6517648
Chromosome01	20847661	20847661	Assemblytics_w_102	69	+	Insertion	0	69	Chromosome01_Phase0	+	within_alignment	25149664	25149733
Chromosome01	21199584	21199636	Assemblytics_w_103	52	+	Deletion	52	0	Chromosome01_Phase0	+	within_alignment	25474707	25474707
Chromosome01	21244743	21244794	Assemblytics_w_104	51	+	Deletion	51	0	Chromosome01_Phase0	+	within_alignment	25519661	25519661
Chromosome01	22057780	22057780	Assemblytics_w_105	77	+	Insertion	0	77	Chromosome01_Phase0	+	within_alignment	26456670	26456747
Chromosome02	16229135	16229187	Assemblytics_w_106	52	+	Deletion	52	0	Chromosome02_Phase0	+	within_alignment	15104195	15104195
Chromosome03	5264084	5264136	Assemblytics_w_107	52	+	Deletion	52	0	Chromosome03_Phase0	+	within_alignment	5506211	5506211
Chromosome03	10091629	10091629	Assemblytics_w_108	75	+	Insertion	0	75	Chromosome03_Phase0	+	within_alignment	13636968	13637043
Chromosome03	1886239	1886290	Assemblytics_w_109	51	+	Deletion	51	0	Chromosome03_Phase0	+	within_alignment	1790681	1790681
Chromosome02	21626452	21626511	Assemblytics_w_110	59	+	Deletion	59	0	Chromosome02_Phase0	+	within_alignment	23509294	23509294
Chromosome02	24744561	24744561	Assemblytics_w_111	53	+	Insertion	0	53	Chromosome02_Phase0	+	within_alignment	25105104	25105157
Chromosome02	22699610	22699678	Assemblytics_w_112	68	+	Deletion	68	0	Chromosome02_Phase0	+	within_alignment	24611048	24611048
Chromosome01	32847048	32847048	Assemblytics_w_113	52	+	Insertion	0	52	Chromosome01_Phase0	+	within_alignment	38081868	38081920
Chromosome02	28134479	28134479	Assemblytics_w_114	56	+	Insertion	0	56	Chromosome02_Phase0	+	within_alignment	30640380	30640436
Chromosome03	4685284	4685355	Assemblytics_w_115	71	+	Deletion	71	0	Chromosome03_Phase0	+	within_alignment	4708574	4708574
Chromosome01	11877114	11877185	Assemblytics_w_116	71	+	Deletion	71	0	Chromosome01_Phase0	+	within_alignment	15700593	15700593
Chromosome03	4446342	4446342	Assemblytics_w_117	64	+	Insertion	0	64	Chromosome03_Phase0	+	within_alignment	4373665	4373729
Chromosome03	16414723	16414723	Assemblytics_w_118	73	+	Insertion	0	73	Chromosome03_Phase0	+	within_alignment	16293265	16293338
Chromosome03	16426099	16426099	Assemblytics_w_119	57	+	Insertion	0	57	Chromosome03_Phase0	+	within_alignment	16304701	16304758
Chromosome03	2694160	2694239	Assemblytics_w_120	79	+	Deletion	79	0	Chromosome03_Phase0	+	within_alignment	2711361	2711361
Chromosome02	20939580	20939580	Assemblytics_w_121	71	+	Insertion	0	71	Chromosome02_Phase0	+	within_alignment	22483267	22483338
Chromosome02	31279851	31279851	Assemblytics_w_122	52	+	Insertion	0	52	Chromosome02_Phase0	+	within_alignment	34344595	34344647
Chromosome02	25740269	25740319	Assemblytics_w_123	50	+	Deletion	50	0	Chromosome02_Phase0	+	within_alignment	33166800	33166800
Chromosome02	25689883	25689883	Assemblytics_w_124	55	+	Insertion	0	55	Chromosome02_Phase0	+	within_alignment	33236045	33236100
Chromosome01	33471654	33471707	Assemblytics_w_125	53	+	Deletion	53	0	Chromosome01_Phase0	+	within_alignment	38684910	38684910
Chromosome02	28038523	28038523	Assemblytics_w_126	75	+	Insertion	0	75	Chromosome02_Phase0	+	within_alignment	30805329	30805404
Chromosome02	28048729	28048729	Assemblytics_w_127	70	+	Insertion	0	70	Chromosome02_Phase0	+	within_alignment	30791397	30791467
Chromosome02	8441162	8441214	Assemblytics_w_128	52	+	Deletion	52	0	Chromosome02_Phase0	+	within_alignment	7808812	7808812
Chromosome02	8466497	8466552	Assemblytics_w_129	55	+	Deletion	55	0	Chromosome02_Phase0	+	within_alignment	7862442	7862442
Chromosome02	8793126	8793126	Assemblytics_w_130	84	+	Insertion	0	84	Chromosome02_Phase0	+	within_alignment	8193712	8193796
Chromosome02	8942449	8942449	Assemblytics_w_131	63	+	Insertion	0	63	Chromosome02_Phase0	+	within_alignment	8353033	8353096
Chromosome02	9023731	9023731	Assemblytics_w_132	55	+	Insertion	0	55	Chromosome02_Phase0	+	within_alignment	8419371	8419426
Chromosome02	9024441	9024499	Assemblytics_w_133	58	+	Deletion	58	0	Chromosome02_Phase0	+	within_alignment	8420140	8420140
Chromosome02	7660436	7660436	Assemblytics_w_134	74	+	Insertion	0	74	Chromosome02_Phase0	+	within_alignment	7076038	7076112
Chromosome02	7829682	7829744	Assemblytics_w_135	62	+	Deletion	62	0	Chromosome02_Phase0	+	within_alignment	7236734	7236734
Chromosome02	31008165	31008165	Assemblytics_w_136	52	+	Insertion	0	52	Chromosome02_Phase0	+	within_alignment	34081531	34081583
Chromosome02	13588901	13588963	Assemblytics_w_137	62	+	Deletion	62	0	Chromosome02_Phase0	+	within_alignment	12707121	12707121
Chromosome02	13625613	13625613	Assemblytics_w_138	62	+	Insertion	0	62	Chromosome02_Phase0	+	within_alignment	12745944	12746006
Chromosome02	13645684	13645684	Assemblytics_w_139	63	+	Insertion	0	63	Chromosome02_Phase0	+	within_alignment	12766037	12766100
Chromosome03	8301471	8301471	Assemblytics_w_140	52	+	Insertion	0	52	Chromosome03_Phase0	+	within_alignment	10197010	10197062
Chromosome02	6227054	6227054	Assemblytics_w_141	50	+	Insertion	0	50	Chromosome02_Phase0	+	within_alignment	5660537	5660587
Chromosome02	31391421	31391495	Assemblytics_w_142	74	+	Deletion	74	0	Chromosome02_Phase0	+	within_alignment	34478350	34478350
Chromosome02	31551650	31551719	Assemblytics_w_143	69	+	Deletion	69	0	Chromosome02_Phase0	+	within_alignment	34603110	34603110
Chromosome01	22946370	22946370	Assemblytics_w_144	61	+	Insertion	0	61	Chromosome01_Phase0	+	within_alignment	27651667	27651728
Chromosome03	14659252	14659252	Assemblytics_w_145	59	+	Insertion	0	59	Chromosome03_Phase0	+	within_alignment	18623748	18623807
Chromosome03	4180802	4180855	Assemblytics_w_146	53	+	Deletion	53	0	Chromosome03_Phase0	+	within_alignment	4062962	4062962
Chromosome03	15163335	15163390	Assemblytics_w_147	55	+	Deletion	55	0	Chromosome03_Phase0	+	within_alignment	19240900	19240900
Chromosome03	8429785	8429851	Assemblytics_w_148	66	+	Deletion	66	0	Chromosome03_Phase0	+	within_alignment	10696045	10696045
Chromosome03	3202494	3202556	Assemblytics_w_149	62	+	Deletion	62	0	Chromosome03_Phase0	+	within_alignment	3200608	3200608
Chromosome02	11286453	11286453	Assemblytics_w_150	81	+	Insertion	0	81	Chromosome02_Phase0	+	within_alignment	10644212	10644293
Chromosome03	4552386	4552439	Assemblytics_w_151	53	+	Deletion	53	0	Chromosome03_Phase0	+	within_alignment	4545704	4545704
Chromosome02	32397670	32397737	Assemblytics_w_152	67	+	Deletion	67	0	Chromosome02_Phase0	+	within_alignment	33801765	33801765
Chromosome02	32399524	32399524	Assemblytics_w_153	80	+	Insertion	0	80	Chromosome02_Phase0	+	within_alignment	33803551	33803631
Chromosome02	32401202	32401202	Assemblytics_w_154	74	+	Insertion	0	74	Chromosome02_Phase0	+	within_alignment	33805309	33805383
Chromosome16	27993419	27993419	Assemblytics_w_155	80	+	Insertion	0	80	Chromosome03_Phase0	+	within_alignment	20075516	20075596
Chromosome03	13338403	13338403	Assemblytics_w_156	67	+	Insertion	0	67	Chromosome03_Phase0	+	within_alignment	19953373	19953440
Chromosome03	17019986	17020069	Assemblytics_w_157	83	+	Deletion	83	0	Chromosome03_Phase0	+	within_alignment	17660652	17660652
Chromosome01	33690792	33690846	Assemblytics_w_158	54	+	Deletion	54	0	Chromosome01_Phase0	+	within_alignment	38901264	38901264
Chromosome01	33745197	33745197	Assemblytics_w_159	73	+	Insertion	0	73	Chromosome01_Phase0	+	within_alignment	38944054	38944127
Chromosome01	33751494	33751494	Assemblytics_w_160	82	+	Insertion	0	82	Chromosome01_Phase0	+	within_alignment	38950412	38950494
Chromosome01	33799042	33799042	Assemblytics_w_161	51	+	Insertion	0	51	Chromosome01_Phase0	+	within_alignment	38998022	38998073
Chromosome05	23518617	23518667	Assemblytics_w_162	50	+	Deletion	50	0	Chromosome03_Phase0	+	within_alignment	32140713	32140713
Chromosome05	23522043	23522043	Assemblytics_w_163	54	+	Insertion	0	54	Chromosome03_Phase0	+	within_alignment	32144094	32144148
Chromosome02	7857967	7858019	Assemblytics_w_164	52	+	Deletion	52	0	Chromosome02_Phase0	+	within_alignment	7258261	7258261
Chromosome03	21502140	21502190	Assemblytics_w_165	50	+	Deletion	50	0	Chromosome03_Phase0	+	within_alignment	24119644	24119644
Chromosome02	24095802	24095857	Assemblytics_w_166	55	+	Deletion	55	0	Chromosome02_Phase0	+	within_alignment	26868812	26868812
Chromosome02	24150670	24150670	Assemblytics_w_167	73	+	Insertion	0	73	Chromosome02_Phase0	+	within_alignment	26804183	26804256
Chromosome03	7084951	7085017	Assemblytics_w_168	66	+	Deletion	66	0	Chromosome03_Phase0	+	within_alignment	8250650	8250650
Chromosome03	7088064	7088064	Assemblytics_w_169	73	+	Insertion	0	73	Chromosome03_Phase0	+	within_alignment	8253696	8253769
Chromosome02	23103918	23103918	Assemblytics_w_170	60	+	Insertion	0	60	Chromosome02_Phase0	+	within_alignment	26469454	26469514
Chromosome03	8371582	8371633	Assemblytics_w_171	51	+	Deletion	51	0	Chromosome03_Phase0	+	within_alignment	11409063	11409063
Chromosome03	17738221	17738284	Assemblytics_w_172	63	+	Deletion	63	0	Chromosome03_Phase0	+	within_alignment	21886270	21886270
Chromosome03	17779092	17779092	Assemblytics_w_173	67	+	Insertion	0	67	Chromosome03_Phase0	+	within_alignment	21922014	21922081
Chromosome03	17788866	17788922	Assemblytics_w_174	56	+	Deletion	56	0	Chromosome03_Phase0	+	within_alignment	21931937	21931937
Chromosome01	27907408	27907483	Assemblytics_w_175	75	+	Deletion	75	0	Chromosome01_Phase0	+	within_alignment	32858415	32858415
Chromosome02	10159120	10159120	Assemblytics_w_176	72	+	Insertion	0	72	Chromosome02_Phase0	+	within_alignment	9468485	9468557
Chromosome02	10166383	10166461	Assemblytics_w_177	78	+	Deletion	78	0	Chromosome02_Phase0	+	within_alignment	9475837	9475837
Chromosome02	26987657	26987726	Assemblytics_w_178	69	+	Deletion	69	0	Chromosome02_Phase0	+	within_alignment	29786307	29786307
Chromosome02	27015995	27015995	Assemblytics_w_179	60	+	Insertion	0	60	Chromosome02_Phase0	+	within_alignment	29756042	29756102
Chromosome02	27018753	27018831	Assemblytics_w_180	78	+	Deletion	78	0	Chromosome02_Phase0	+	within_alignment	29758861	29758861
Chromosome03	4921898	4921898	Assemblytics_w_181	59	+	Insertion	0	59	Chromosome03_Phase0	+	within_alignment	5031778	5031837
Chromosome02	17981495	17981548	Assemblytics_w_182	53	+	Deletion	53	0	Chromosome02_Phase0	+	within_alignment	19795331	19795331
Chromosome03	932312	932312	Assemblytics_w_183	58	+	Insertion	0	58	Chromosome03_Phase0	+	within_alignment	875486	875544
Chromosome02	9096680	9096731	Assemblytics_w_184	51	+	Deletion	51	0	Chromosome02_Phase0	+	within_alignment	8496832	8496832
Chromosome03	25604575	25604635	Assemblytics_w_185	60	+	Deletion	60	0	Chromosome03_Phase0	+	within_alignment	28238974	28238974
Chromosome04	7263125	7263196	Assemblytics_w_186	71	+	Deletion	71	0	Chromosome04_Phase0	+	within_alignment	7420347	7420347
Chromosome04	4054376	4054460	Assemblytics_w_187	84	+	Deletion	84	0	Chromosome04_Phase0	+	within_alignment	4303176	4303176
Chromosome03	23226277	23226355	Assemblytics_w_188	78	+	Deletion	78	0	Chromosome03_Phase0	+	within_alignment	25743407	25743407
Chromosome03	16221038	16221094	Assemblytics_w_189	56	+	Deletion	56	0	Chromosome03_Phase0	+	within_alignment	16935005	16935005
Chromosome03	22597208	22597208	Assemblytics_w_190	57	+	Insertion	0	57	Chromosome03_Phase0	+	within_alignment	25000963	25001020
Chromosome03	20938331	20938409	Assemblytics_w_191	78	+	Deletion	78	0	Chromosome03_Phase0	+	within_alignment	23257047	23257047
Chromosome03	22824663	22824663	Assemblytics_w_192	58	+	Insertion	0	58	Chromosome03_Phase0	+	within_alignment	25227260	25227318
Chromosome03	18582526	18582526	Assemblytics_w_193	80	+	Insertion	0	80	Chromosome02_Phase0	+	within_alignment	21426687	21426767
Chromosome03	28417951	28418007	Assemblytics_w_194	56	+	Deletion	56	0	Chromosome03_Phase0	+	within_alignment	30927804	30927804
Chromosome03	28437030	28437030	Assemblytics_w_195	65	+	Insertion	0	65	Chromosome03_Phase0	+	within_alignment	30962370	30962435
Chromosome01	23007050	23007050	Assemblytics_w_196	51	+	Insertion	0	51	Chromosome01_Phase0	+	within_alignment	27727109	27727160
Chromosome01	23119399	23119458	Assemblytics_w_197	59	+	Deletion	59	0	Chromosome01_Phase0	+	within_alignment	27834036	27834036
Chromosome01	23292058	23292119	Assemblytics_w_198	61	+	Deletion	61	0	Chromosome01_Phase0	+	within_alignment	28018758	28018758
Chromosome03	8478520	8478592	Assemblytics_w_199	72	+	Deletion	72	0	Chromosome03_Phase0	+	within_alignment	11024211	11024211
Chromosome04	2143656	2143713	Assemblytics_w_200	57	+	Deletion	57	0	Chromosome04_Phase0	+	within_alignment	2286162	2286162
Chromosome04	2195252	2195327	Assemblytics_w_201	75	+	Deletion	75	0	Chromosome04_Phase0	+	within_alignment	2337499	2337499
Chromosome04	366459	366459	Assemblytics_w_202	78	+	Insertion	0	78	Chromosome04_Phase0	+	within_alignment	292877	292955
Chromosome04	7891326	7891410	Assemblytics_w_203	84	+	Deletion	84	0	Chromosome04_Phase0	+	within_alignment	8482986	8482986
Chromosome03	27469147	27469232	Assemblytics_w_204	85	+	Deletion	85	0	Chromosome03_Phase0	+	within_alignment	30279023	30279023
Chromosome03	27486892	27486892	Assemblytics_w_205	62	+	Insertion	0	62	Chromosome03_Phase0	+	within_alignment	30296667	30296729
Chromosome03	27524257	27524257	Assemblytics_w_206	66	+	Insertion	0	66	Chromosome03_Phase0	+	within_alignment	30334123	30334189
Chromosome04	9348911	9348965	Assemblytics_w_207	54	+	Deletion	54	0	Chromosome04_Phase0	+	within_alignment	8692902	8692902
